uf;cd_ufe;cd_mue;nome;populacao;geocodigo
RO;11;15;Alta Floresta D'Oeste;25437;1100015
RO;11;23;Ariquemes;107345;1100023
RO;11;31;Cabixi;6224;1100031
RO;11;49;Cacoal;88507;1100049
RO;11;56;Cerejeiras;17934;1100056
RO;11;64;Colorado do Oeste;18467;1100064
RO;11;72;Corumbiara;8659;1100072
RO;11;80;Costa Marques;17400;1100080
RO;11;98;Espigão D'Oeste;33030;1100098
RO;11;106;Guajará-Mirim;47451;1100106
RO;11;114;Jaru;55871;1100114
RO;11;122;Ji-Paraná;132667;1100122
RO;11;130;Machadinho D'Oeste;38609;1100130
RO;11;148;Nova Brasilândia D'Oeste;21747;1100148
RO;11;155;Ouro Preto do Oeste;39759;1100155
RO;11;189;Pimenta Bueno;38051;1100189
RO;11;205;Porto Velho;519436;1100205
RO;11;254;Presidente Médici;22124;1100254
RO;11;262;Rio Crespo;3829;1100262
RO;11;288;Rolim de Moura;57074;1100288
RO;11;296;Santa Luzia D'Oeste;8198;1100296
RO;11;304;Vilhena;95630;1100304
RO;11;320;São Miguel do Guaporé;24181;1100320
RO;11;338;Nova Mamoré;28891;1100338
RO;11;346;Alvorada D'Oeste;16747;1100346
RO;11;379;Alto Alegre dos Parecis;14045;1100379
RO;11;403;Alto Paraíso;20916;1100403
RO;11;452;Buritis;39044;1100452
RO;11;502;Novo Horizonte do Oeste;10051;1100502
RO;11;601;Cacaulândia;6460;1100601
RO;11;700;Campo Novo de Rondônia;14484;1100700
RO;11;809;Candeias do Jamari;25266;1100809
RO;11;908;Castanheiras;3550;1100908
RO;11;924;Chupinguaia;10593;1100924
RO;11;940;Cujubim;22443;1100940
RO;11;1005;Governador Jorge Teixeira;9745;1101005
RO;11;1104;Itapuã do Oeste;10310;1101104
RO;11;1203;Ministro Andreazza;10751;1101203
RO;11;1302;Mirante da Serra;12258;1101302
RO;11;1401;Monte Negro;16186;1101401
RO;11;1435;Nova União;7769;1101435
RO;11;1450;Parecis;5904;1101450
RO;11;1468;Pimenteiras do Oeste;2410;1101468
RO;11;1476;Primavera de Rondônia;3411;1101476
RO;11;1484;São Felipe D'Oeste;5994;1101484
RO;11;1492;São Francisco do Guaporé;19694;1101492
RO;11;1500;Seringueiras;12653;1101500
RO;11;1559;Teixeirópolis;4931;1101559
RO;11;1609;Theobroma;11350;1101609
RO;11;1708;Urupá;13106;1101708
RO;11;1757;Vale do Anari;11149;1101757
RO;11;1807;Vale do Paraíso;8047;1101807
AC;12;13;Acrelândia;14366;1200013
AC;12;54;Assis Brasil;6986;1200054
AC;12;104;Brasiléia;24765;1200104
AC;12;138;Bujari;9664;1200138
AC;12;179;Capixaba;11136;1200179
AC;12;203;Cruzeiro do Sul;82622;1200203
AC;12;252;Epitaciolândia;17340;1200252
AC;12;302;Feijó;32360;1200302
AC;12;328;Jordão;7858;1200328
AC;12;336;Mâncio Lima;17910;1200336
AC;12;344;Manoel Urbano;8886;1200344
AC;12;351;Marechal Thaumaturgo;17897;1200351
AC;12;385;Plácido de Castro;18510;1200385
AC;12;393;Porto Walter;11353;1200393
AC;12;401;Rio Branco;383443;1200401
AC;12;427;Rodrigues Alves;17945;1200427
AC;12;435;Santa Rosa do Purus;6230;1200435
AC;12;450;Senador Guiomard;21552;1200450
AC;12;500;Sena Madureira;43139;1200500
AC;12;609;Tarauacá;40024;1200609
AC;12;708;Xapuri;18174;1200708
AC;12;807;Porto Acre;17459;1200807
AM;13;29;Alvarães;15908;1300029
AM;13;60;Amaturá;11242;1300060
AM;13;86;Anamã;12978;1300086
AM;13;102;Anori;20196;1300102
AM;13;144;Apuí;21406;1300144
AM;13;201;Atalaia do Norte;19054;1300201
AM;13;300;Autazes;38454;1300300
AM;13;409;Barcelos;27743;1300409
AM;13;508;Barreirinha;31542;1300508
AM;13;607;Benjamin Constant;41329;1300607
AM;13;631;Beruri;18978;1300631
AM;13;680;Boa Vista do Ramos;18483;1300680
AM;13;706;Boca do Acre;34176;1300706
AM;13;805;Borba;40464;1300805
AM;13;839;Caapiranga;12820;1300839
AM;13;904;Canutama;15490;1300904
AM;13;1001;Carauari;28337;1301001
AM;13;1100;Careiro;37399;1301100
AM;13;1159;Careiro da Várzea;29190;1301159
AM;13;1209;Coari;84762;1301209
AM;13;1308;Codajás;27817;1301308
AM;13;1407;Eirunepé;34888;1301407
AM;13;1506;Envira;19492;1301506
AM;13;1605;Fonte Boa;19669;1301605
AM;13;1654;Guajará;16339;1301654
AM;13;1704;Humaitá;53383;1301704
AM;13;1803;Ipixuna;28299;1301803
AM;13;1852;Iranduba;47407;1301852
AM;13;1902;Itacoatiara;99854;1301902
AM;13;1951;Itamarati;8128;1301951
AM;13;2009;Itapiranga;9125;1302009
AM;13;2108;Japurá;4205;1302108
AM;13;2207;Juruá;13956;1302207
AM;13;2306;Jutaí;15824;1302306
AM;13;2405;Lábrea;44861;1302405
AM;13;2504;Manacapuru;96460;1302504
AM;13;2553;Manaquiri;30222;1302553
AM;13;2603;Manaus;2130264;1302603
AM;13;2702;Manicoré;54708;1302702
AM;13;2801;Maraã;18531;1302801
AM;13;2900;Maués;62212;1302900
AM;13;3007;Nhamundá;20902;1303007
AM;13;3106;Nova Olinda do Norte;36431;1303106
AM;13;3205;Novo Airão;18586;1303205
AM;13;3304;Novo Aripuanã;25112;1303304
AM;13;3403;Parintins;113832;1303403
AM;13;3502;Pauini;19597;1303502
AM;13;3536;Presidente Figueiredo;34574;1303536
